YEAR,PERIODE,AIRCRAFT TYPE,FLIGHT NUMBER_CITYPAIR,SERVICE TYPE,SUB-SERVICE,ROUNDTRIPROUTE,FLIGHT ROUTE,AC REG,Region,QUARTER,GA Service,AIRCRAFT TYPE GROUPING
,,,GA0899.CAN-CGK.[CAN-CGK],,,,,,,,,
,,,GA0980.CGK-JED.[CGK-JED],,,,,,,,,
,,,GA0981.JED-CGK.[JED-CGK],,,,,,,,,
,,,GA0982.CGK-JED.[CGK-JED],,,,,,,,,
,,,GA0983.JED-CGK.[JED-CGK],,,,,,,,,
,,,GA7037.LBJ-DPS.[LBJ-DPS],,,,,,,,,
,,,GA0829.SIN-CGK.[SIN-CGK],,,,,,,,,
,,,GA0432.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA0833.SIN-CGK.[SIN-CGK],,,,,,,,,
,,,GA0620.DPS-UPG.[DPS-UPG],,,,,,,,,
,,,GA0621.SOQ-UPG-DPS.[SOQ-DPS],,,,,,,,,
,,,GA0621.SOQ-UPG-DPS.[SOQ-UPG],,,,,,,,,
,,,GA0621.SOQ-UPG-DPS.[UPG-DPS],,,,,,,,,
,,,GA0207.YIA-CGK.[YIA-CGK],,,,,,,,,
,,,GA0231.SRG-CGK.[SRG-CGK],,,,,,,,,
,,,GA0231.SRG-CGK.[SRG-SRG],,,,,,,,,
,,,GA0716.CGK-MEL.[CGK-MEL],,,,,,,,,
,,,GA0880.DPS-TYO.[DPS-TYO],,,,,,,,,
,,,GA0881.TYO-DPS.[TYO-DPS],,,,,,,,,
,,,GA0152.CGK-BTH.[CGK-BTH],,,,,,,,,
,,,GA0155.BTH-CGK.[BTH-CGK],,,,,,,,,
,,,GA0717.MEL-CGK.[MEL-CGK],,,,,,,,,
,,,GA0425.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA0426.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA0416.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA0075.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA0246.CGK-SRG.[CGK-SRG],,,,,,,,,
,,,GA0074.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA0310.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA0119.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA0719.MEL-DPS.[MEL-DPS],,,,,,,,,
,,,GA0315.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA0647.AMQ-CGK.[AMQ-CGK],,,,,,,,,
,,,GA0870.DPS-ICN.[DPS-ICN],,,,,,,,,
,,,GA0646.CGK-AMQ.[CGK-AMQ],,,,,,,,,
,,,GA0871.ICN-DPS.[ICN-DPS],,,,,,,,,
,,,GA0114.CGK-PLM.[CGK-PLM],,,,,,,,,
,,,GA0187.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA0184.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA0718.DPS-MEL.[DPS-MEL],,,,,,,,,
,,,GA0206.CGK-YIA.[CGK-YIA],,,,,,,,,
,,,GA7036.DPS-LBJ.[DPS-LBJ],,,,,,,,,
,,,GA0190.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA0895.SHA-CGK.[SHA-CGK],,,,,,,,,
,,,GA0894.CGK-SHA.[CGK-SHA],,,,,,,,,
,,,GA0894.CGK-SHA.[CGK-XMN],,,,,,,,,
,,,GA0894.CGK-SHA.[XMN-SHA],,,,,,,,,
,,,GA0822.CGK-SIN.[CGK-SIN],,,,,,,,,
,,,GA0304.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA0140.CGK-BTJ.[CGK-BTJ],,,,,,,,,
,,,GA0141.BTJ-CGK.[BTJ-CGK],,,,,,,,,
,,,GA0823.SIN-CGK.[SIN-CGK],,,,,,,,,
,,,GA0503.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA0328.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA0537.BDJ-CGK.[BDJ-CGK],,,,,,,,,
,,,GA0855.SIN-SUB.[SIN-SUB],,,,,,,,,
,,,GA0817.KUL-CGK.[KUL-CGK],,,,,,,,,
,,,GA0532.CGK-BDJ.[CGK-BDJ],,,,,,,,,
,,,GA0816.CGK-KUL.[CGK-KUL],,,,,,,,,
,,,GA0884.DPS-MDC-TYO.[DPS-MDC],,,,,,,,,
,,,GA0884.DPS-MDC-TYO.[DPS-TYO],,,,,,,,,
,,,GA0884.DPS-MDC-TYO.[MDC-TYO],,,,,,,,,
,,,GA0885.TYO-MDC-DPS.[MDC-DPS],,,,,,,,,
,,,GA0885.TYO-MDC-DPS.[TYO-DPS],,,,,,,,,
,,,GA0885.TYO-MDC-DPS.[TYO-MDC],,,,,,,,,
,,,GA0854.SUB-SIN.[SUB-SIN],,,,,,,,,
,,,GA0431.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA0134.CGK-DJB.[CGK-DJB],,,,,,,,,
,,,GA0101.PLM-CGK.[PLM-CGK],,,,,,,,,
,,,GA0110.CGK-PLM.[CGK-PLM],,,,,,,,,
,,,GA0135.DJB-CGK.[DJB-CGK],,,,,,,,,
,,,GA0869.BKK-CGK.[BKK-CGK],,,,,,,,,
,,,GA0868.CGK-BKK.[CGK-BKK],,,,,,,,,
,,,GA6422.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA6433.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA0313.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA0319.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA0421.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA0969.MED-CGK.[MED-CGK],,,,,,,,,
,,,GA0555.PKY-CGK.[PKY-CGK],,,,,,,,,
,,,GA0554.CGK-PKY.[CGK-PKY],,,,,,,,,
,,,GA0968.CGK-MED.[CGK-MED],,,,,,,,,
,,,GA0512.CGK-PNK.[CGK-PNK],,,,,,,,,
,,,GA0513.PNK-CGK.[PNK-CGK],,,,,,,,,
,,,GA0990.CGK-JED.[CGK-JED],,,,,,,,,
,,,GA0991.JED-CGK.[JED-CGK],,,,,,,,,
,,,GA0077.TKG-CGK.[TKG-CGK],,,,,,,,,
,,,GA0289.TNJ-CGK.[TNJ-CGK],,,,,,,,,
,,,GA0860.CGK-HKG.[CGK-HKG],,,,,,,,,
,,,GA0076.CGK-TKG.[CGK-TKG],,,,,,,,,
,,,GA0076.CGK-TKG.[CGK-CGK],,,,,,,,,
,,,GA0863.HKG-CGK.[HKG-CGK],,,,,,,,,
,,,GA0288.CGK-TNJ.[CGK-TNJ],,,,,,,,,
,,,GA0423.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA6824.CGK-SOQ.[CGK-SOQ],,,,,,,,,
,,,GA6834.SOQ-CGK.[SOQ-CGK],,,,,,,,,
,,,GA0418.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA0226.CGK-SOC.[CGK-SOC],,,,,,,,,
,,,GA0227.SOC-CGK.[SOC-CGK],,,,,,,,,
,,,GA0612.CGK-UPG.[CGK-UPG],,,,,,,,,
,,,GA0632.BIK-DJJ.[BIK-DJJ],,,,,,,,,
,,,GA9688.CGK-MED.[CGK-MED],,,,,,,,,
,,,GA0635.DJJ-TIM.[DJJ-TIM],,,,,,,,,
,,,GA0633.DJJ-BIK.[DJJ-BIK],,,,,,,,,
,,,GA0673.MKQ-DJJ.[MKQ-DJJ],,,,,,,,,
,,,GA0613.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA0634.TIM-DJJ.[TIM-DJJ],,,,,,,,,
,,,GA0667.DJJ-CGK.[DJJ-CGK],,,,,,,,,
,,,GA0668.CGK-DJJ.[CGK-DJJ],,,,,,,,,
,,,GA9699.MED-JED-CGK.[JED-CGK],,,,,,,,,
,,,GA9699.MED-JED-CGK.[MED-CGK],,,,,,,,,
,,,GA9699.MED-JED-CGK.[MED-JED],,,,,,,,,
,,,GA0665.DJJ-CGK.[DJJ-CGK],,,,,,,,,
,,,GA0672.DJJ-MKQ.[DJJ-MKQ],,,,,,,,,
,,,GA2424.CGK-SRG.[CGK-SRG],,,,,,,,,
,,,GA0603.MDC-CGK.[MDC-CGK],,,,,,,,,
,,,GA0615.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA2454.SRG-CGK.[SRG-CGK],,,,,,,,,
,,,GA0602.CGK-MDC.[CGK-MDC],,,,,,,,,
,,,GA0686.DPS-SOQ.[DPS-SOQ],,,,,,,,,
,,,GA0424.CGK-DPS.[CGK-DPS],,,,,,,,,
,,,GA3494.SUB-DPS.[SUB-DPS],,,,,,,,,
,,,GA1894.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA1864.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA0413.DPS-CGK.[DPS-CGK],,,,,,,,,
,,,GA3124.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA3134.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA2324.CGK-SRG.[CGK-SRG],,,,,,,,,
,,,GA2354.SRG-CGK.[SRG-CGK],,,,,,,,,
,,,GA1844.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA6174.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA3424.DPS-SUB.[DPS-SUB],,,,,,,,,
,,,GA1874.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA0308.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA0311.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA9830.JED-BTJ.[JED-BTJ],,,,,,,,,
,,,GA0435.AMI-CGK.[AMI-CGK],,,,,,,,,
,,,GA0434.CGK-AMI.[CGK-AMI],,,,,,,,,
,,,GA1914.MES-CGK.[MES-CGK],,,,,,,,,
,,,GA9820.BTJ-JED.[BTJ-JED],,,,,,,,,
,,,GA2900.CGK-SUB.[CGK-SUB],,,,,,,,,
,,,GA1464.CGK-BTJ.[CGK-BTJ],,,,,,,,,
,,,GA1884.CGK-MES.[CGK-MES],,,,,,,,,
,,,GA6055.UPG-CGK.[UPG-CGK],,,,,,,,,
,,,GA3499.DPS-SUB.[DPS-SUB],,,,,,,,,
,,,GA3422.SUB-DPS.[SUB-DPS],,,,,,,,,
,,,GA2911.SUB-CGK.[SUB-CGK],,,,,,,,,
,,,GA1474.BTJ-CGK.[BTJ-CGK],,,,,,,,,
,,,GA0182.CGK-MES.[CGK-CGK],,,,,,,,,
,,,GA0221.SOC-CGK.[SOC-SOC],,,,,,,,,
,,,GA0225.SOC-CGK.[SOC-SOC],,,,,,,,,
,,,GA0640.CGK-UPG.[CGK-CGK],,,,,,,,,
